subject,body,subject_masked,body_masked,subject_clean,body_clean,text_clean,label_list,n_labels,y_admin,y_assessment,y_extenuating_circumstances,y_feedback,y_resources,y_timetabling,label_ids
PERSONAL TUTOR MEETING,"HI DR SMITH

I NEED TO BOOK A PERSONAL TUTOR MEETING WITH YOU. HOW DO I DO THIS?? IS THERE A BOOKING SYSTEM OR DO I JUST EMAIL YOU??

ALSO I NEED YOU TO SIGN MY LEARNING AGREEMENT FORM BEFORE FRIDAY

THANKS
MICHAEL",PERSONAL TUTOR MEETING,"HI DR SMITH

I NEED TO BOOK A PERSONAL TUTOR MEETING WITH YOU. HOW DO I DO THIS?? IS THERE A BOOKING SYSTEM OR DO I JUST EMAIL YOU??

ALSO I NEED YOU TO SIGN MY LEARNING AGREEMENT FORM BEFORE FRIDAY

[SIGN_OFF]
[PERSON]",PERSONAL TUTOR MEETING,HI DR SMITH I NEED TO BOOK A PERSONAL TUTOR MEETING WITH YOU. HOW DO I DO THIS?? IS THERE A BOOKING SYSTEM OR DO I JUST EMAIL YOU?? ALSO I NEED YOU TO SIGN MY LEARNING AGREEMENT FORM BEFORE FRIDAY [SIGN_OFF] [PERSON],PERSONAL TUTOR MEETING [SEP] HI DR SMITH I NEED TO BOOK A PERSONAL TUTOR MEETING WITH YOU. HOW DO I DO THIS?? IS THERE A BOOKING SYSTEM OR DO I JUST EMAIL YOU?? ALSO I NEED YOU TO SIGN MY LEARNING AGREEMENT FORM BEFORE FRIDAY [SIGN_OFF] [PERSON],['admin'],1,1,0,0,0,0,0,[0]
name change on records,"Dear Dr Smith,

I have recently changed my name by deed poll and I need to update my university records. I've contacted student services but they said my module leaders also need to be informed for assessment purposes.

My previous name was Daniel Morrison and my new legal name is Dani Morrison. My student ID remains W21039284.

Could you update any relevant records on your end?

Thank you,
Dani Morrison",name change on records,"[ORGANIZATION],

I have recently changed my name by deed poll and I need to update my university records. I've contacted student services but they said my module leaders also need to be informed for assessment purposes.

My previous name was [PERSON] and my new legal name is [PERSON]. My student ID remains [STUDENT_ID].

Could you update any relevant records on your end?

Thank you[PERSON]son",name change on records,"[ORGANIZATION], I have recently changed my name by deed poll and I need to update my university records. I've contacted student services but they said my module leaders also need to be informed for assessment purposes. My previous name was [PERSON] and my new legal name is [PERSON]. My student ID remains [STUDENT_ID]. Could you update any relevant records on your end? Thank you[PERSON]son","name change on records [SEP] [ORGANIZATION], I have recently changed my name by deed poll and I need to update my university records. I've contacted student services but they said my module leaders also need to be informed for assessment purposes. My previous name was [PERSON] and my new legal name is [PERSON]. My student ID remains [STUDENT_ID]. Could you update any relevant records on your end? Thank you[PERSON]son",['admin'],1,1,0,0,0,0,0,[0]
Mitigating Circumstances Panel Outcome,"Dear Dr Smith,

I submitted a mitigating circumstances claim for the KV6003 December deadline and I received an email saying it was considered by the panel. However the outcome letter is quite confusing — it says 'deferred with academic judgement' and I don't understand what this means practically. Do I resubmit? Is there a new deadline?

Could you help me understand what happens next?

Thanks,
Tom Wilson",Mitigating Circumstances Panel Outcome,"[ORGANIZATION],

I submitted a mitigating circumstances claim for the [PERSON] December deadline and I received an email saying it was considered by the panel. However the outcome letter is quite confusing — it says 'deferred with academic judgement' and I don't understand what this means practically. Do I resubmit? Is there a new deadline?

Could you help me understand what happens next?

[SIGN_OFF]
[PERSON]",Mitigating Circumstances Panel Outcome,"[ORGANIZATION], I submitted a mitigating circumstances claim for the [PERSON] December deadline and I received an email saying it was considered by the panel. However the outcome letter is quite confusing — it says 'deferred with academic judgement' and I don't understand what this means practically. Do I resubmit? Is there a new deadline? Could you help me understand what happens next? [SIGN_OFF] [PERSON]","Mitigating Circumstances Panel Outcome [SEP] [ORGANIZATION], I submitted a mitigating circumstances claim for the [PERSON] December deadline and I received an email saying it was considered by the panel. However the outcome letter is quite confusing — it says 'deferred with academic judgement' and I don't understand what this means practically. Do I resubmit? Is there a new deadline? Could you help me understand what happens next? [SIGN_OFF] [PERSON]",['admin'],1,1,0,0,0,0,0,[0]
can i audit a module,"hi

im a kv6003 student but im really interested in the databases content from kv4006. is there a way i can sit in on some of the lectures without being formally enrolled?? i just want to learn the material

cheers
zara",can i audit a module,"hi

im a kv6003 student but im really interested in the databases content from kv4006. is there a way i can sit in on some of the lectures without being formally enrolled?? i just want to learn the material

cheers
zara",can i audit a module,hi im a kv6003 student but im really interested in the databases content from kv4006. is there a way i can sit in on some of the lectures without being formally enrolled?? i just want to learn the material cheers zara,can i audit a module [SEP] hi im a kv6003 student but im really interested in the databases content from kv4006. is there a way i can sit in on some of the lectures without being formally enrolled?? i just want to learn the material cheers zara,['admin'],1,1,0,0,0,0,0,[0]
Graduation Ceremony Information,"Dear Dr Smith,

I'm expecting to graduate this summer and I wanted to ask about the graduation ceremony. Is there anything I need to do from the academic side to confirm my attendance? I've registered on the graduation portal but I wasn't sure if there's a separate process through the department.

Also, do you know if guests need tickets?

Kind regards,
Rebecca Lawrence",Graduation Ceremony Information,"[ORGANIZATION],

I'm expecting to graduate this summer and I wanted to ask about the graduation ceremony. Is there anything I need to do from the academic side to confirm my attendance? I've registered on the graduation portal but I wasn't sure if there's a separate process through the department.

Also, do you know if guests need tickets?

[SIGN_OFF]
[PERSON]",Graduation Ceremony Information,"[ORGANIZATION], I'm expecting to graduate this summer and I wanted to ask about the graduation ceremony. Is there anything I need to do from the academic side to confirm my attendance? I've registered on the graduation portal but I wasn't sure if there's a separate process through the department. Also, do you know if guests need tickets? [SIGN_OFF] [PERSON]","Graduation Ceremony Information [SEP] [ORGANIZATION], I'm expecting to graduate this summer and I wanted to ask about the graduation ceremony. Is there anything I need to do from the academic side to confirm my attendance? I've registered on the graduation portal but I wasn't sure if there's a separate process through the department. Also, do you know if guests need tickets? [SIGN_OFF] [PERSON]",['admin'],1,1,0,0,0,0,0,[0]
Transfer Between Programmes,"Dear Dr Smith,

I'm currently on the BSc Computer Science programme but I'm considering transferring to the BSc Software Engineering programme. I understand there's significant module overlap, including KV5002 and KV6003.

Could you advise on the process and whether my completed credits would transfer? I'd appreciate knowing who the best person to discuss this with formally would be.

Thank you,
Emily Chen",Transfer Between Programmes,"[ORGANIZATION],

I'm currently on the BSc [ORGANIZATION] programme but I'm considering transferring to the BSc [ORGANIZATION] programme. I understand there's significant module overlap, including KV5002 and [PERSON].

Could you advise on the process and whether my completed credits would transfer? I'd appreciate knowing who the best person to discuss this with formally would be.

Thank you,
[PERSON]",Transfer Between Programmes,"[ORGANIZATION], I'm currently on the BSc [ORGANIZATION] programme but I'm considering transferring to the BSc [ORGANIZATION] programme. I understand there's significant module overlap, including KV5002 and [PERSON]. Could you advise on the process and whether my completed credits would transfer? I'd appreciate knowing who the best person to discuss this with formally would be. Thank you, [PERSON]","Transfer Between Programmes [SEP] [ORGANIZATION], I'm currently on the BSc [ORGANIZATION] programme but I'm considering transferring to the BSc [ORGANIZATION] programme. I understand there's significant module overlap, including KV5002 and [PERSON]. Could you advise on the process and whether my completed credits would transfer? I'd appreciate knowing who the best person to discuss this with formally would be. Thank you, [PERSON]",['admin'],1,1,0,0,0,0,0,[0]
enrolled in wrong seminar group,"hi

ive been put in seminar group B for kv5002 but all my friends are in group A and the times work better for me. is it possible to switch groups?? the student portal wont let me change it myself

pls
katie",enrolled in wrong seminar group,"hi

ive been put in seminar group B for kv5002 but all my friends are in group A and the times work better for me. is it possible to switch groups?? the student portal wont let me change it myself

pls
katie",enrolled in wrong seminar group,hi ive been put in seminar group B for kv5002 but all my friends are in group A and the times work better for me. is it possible to switch groups?? the student portal wont let me change it myself pls katie,enrolled in wrong seminar group [SEP] hi ive been put in seminar group B for kv5002 but all my friends are in group A and the times work better for me. is it possible to switch groups?? the student portal wont let me change it myself pls katie,['admin'],1,1,0,0,0,0,0,[0]
Academic Misconduct Allegation,"Dear Dr Smith,

I have received a letter from the university stating that I am being investigated for academic misconduct in relation to my KV5002 submission. I am very worried about this as I did not intentionally plagiarise anything. I used some code from Stack Overflow but I referenced it in my comments.

Could you advise me on what to expect from this process and whether I should attend with any particular documentation?

I'm extremely anxious about the situation.

Regards,
Alex Turner",Academic Misconduct Allegation,"[ORGANIZATION],

I have received a letter from the university stating that I am being investigated for academic misconduct in relation to my KV5002 submission. I am very worried about this as I did not intentionally plagiarise anything. I used some code from [ORGANIZATION] but I referenced it in my comments.

Could you advise me on what to expect from this process and whether I should attend with any particular documentation?

I'm extremely anxious about the situation.

[SIGN_OFF]
[PERSON]",Academic Misconduct Allegation,"[ORGANIZATION], I have received a letter from the university stating that I am being investigated for academic misconduct in relation to my KV5002 submission. I am very worried about this as I did not intentionally plagiarise anything. I used some code from [ORGANIZATION] but I referenced it in my comments. Could you advise me on what to expect from this process and whether I should attend with any particular documentation? I'm extremely anxious about the situation. [SIGN_OFF] [PERSON]","Academic Misconduct Allegation [SEP] [ORGANIZATION], I have received a letter from the university stating that I am being investigated for academic misconduct in relation to my KV5002 submission. I am very worried about this as I did not intentionally plagiarise anything. I used some code from [ORGANIZATION] but I referenced it in my comments. Could you advise me on what to expect from this process and whether I should attend with any particular documentation? I'm extremely anxious about the situation. [SIGN_OFF] [PERSON]",['admin'],1,1,0,0,0,0,0,[0]
student rep stuff,"hi dr smith

im the student rep for kv4006 and i need to arrange the mid-semester feedback meeting. when are you free in the next couple of weeks?? also do u have a template for the feedback form or do i make my own

thx
dan",student rep stuff,"hi [PERSON]

im the student rep for [PERSON] and i need to arrange the mid-semester feedback meeting. when are you free in the next couple of weeks?? also do u have a template for the feedback form or do i make my own

thx
dan",student rep stuff,hi [PERSON] im the student rep for [PERSON] and i need to arrange the mid-semester feedback meeting. when are you free in the next couple of weeks?? also do u have a template for the feedback form or do i make my own thx dan,student rep stuff [SEP] hi [PERSON] im the student rep for [PERSON] and i need to arrange the mid-semester feedback meeting. when are you free in the next couple of weeks?? also do u have a template for the feedback form or do i make my own thx dan,['admin'],1,1,0,0,0,0,0,[0]
Joint Honours Module Confusion,"Dear Dr Smith,

I'm a Joint Honours student studying Computing and Business. I've been told I need to take KV4006 but it clashes with one of my Business modules. My Business programme director said to speak to you about arranging alternative assessment or attendance arrangements.

Could we discuss possible options?

Thank you,
Chloe Martinez",Joint Honours Module Confusion,"[ORGANIZATION],

I'm a Joint Honours student studying [ORGANIZATION]. I've been told I need to take KV4006 but it clashes with one of my Business modules. My Business programme director said to speak to you about arranging alternative assessment or attendance arrangements.

Could we discuss possible options?

Thank you,
[PERSON]",Joint Honours Module Confusion,"[ORGANIZATION], I'm a Joint Honours student studying [ORGANIZATION]. I've been told I need to take KV4006 but it clashes with one of my Business modules. My Business programme director said to speak to you about arranging alternative assessment or attendance arrangements. Could we discuss possible options? Thank you, [PERSON]","Joint Honours Module Confusion [SEP] [ORGANIZATION], I'm a Joint Honours student studying [ORGANIZATION]. I've been told I need to take KV4006 but it clashes with one of my Business modules. My Business programme director said to speak to you about arranging alternative assessment or attendance arrangements. Could we discuss possible options? Thank you, [PERSON]",['admin'],1,1,0,0,0,0,0,[0]
do i need a DBS check,"hi

for my kv6003 project im planning to do some user testing with school students. someone mentioned i might need a DBS check for this. is that true and if so how do i get one through the university??

cheers
james",do i need a DBS check,"hi

for my [PERSON] project im planning to do some user testing with school students. someone mentioned i might need a DBS check for this. is that true and if so how do i get one through the university??

cheers
james",do i need a DBS check,hi for my [PERSON] project im planning to do some user testing with school students. someone mentioned i might need a DBS check for this. is that true and if so how do i get one through the university?? cheers james,do i need a DBS check [SEP] hi for my [PERSON] project im planning to do some user testing with school students. someone mentioned i might need a DBS check for this. is that true and if so how do i get one through the university?? cheers james,['admin'],1,1,0,0,0,0,0,[0]
Changing Supervisor,"Dear Dr Smith,

This is a difficult email to write but I would like to request a change of supervisor for my KV6003 project. My current supervisor and I have different views on the direction of my project and I feel I would benefit from working with someone whose expertise is more aligned with my topic area.

I want to handle this professionally and I'm not making this decision lightly. Could you advise on the formal process for requesting this?

Kind regards,
Hannah Wright",Changing Supervisor,"[ORGANIZATION],

This is a difficult email to write but I would like to request a change of supervisor for my KV6003 project. My current supervisor and I have different views on the direction of my project and I feel I would benefit from working with someone whose expertise is more aligned with my topic area.

I want to handle this professionally and I'm not making this decision lightly. Could you advise on the formal process for requesting this?

[SIGN_OFF]
[PERSON]",Changing Supervisor,"[ORGANIZATION], This is a difficult email to write but I would like to request a change of supervisor for my KV6003 project. My current supervisor and I have different views on the direction of my project and I feel I would benefit from working with someone whose expertise is more aligned with my topic area. I want to handle this professionally and I'm not making this decision lightly. Could you advise on the formal process for requesting this? [SIGN_OFF] [PERSON]","Changing Supervisor [SEP] [ORGANIZATION], This is a difficult email to write but I would like to request a change of supervisor for my KV6003 project. My current supervisor and I have different views on the direction of my project and I feel I would benefit from working with someone whose expertise is more aligned with my topic area. I want to handle this professionally and I'm not making this decision lightly. Could you advise on the formal process for requesting this? [SIGN_OFF] [PERSON]",['admin'],1,1,0,0,0,0,0,[0]
council tax exemption letter,"hi dr smith

my landlord is asking for a council tax exemption letter proving im a full time student. do i get this from you or from student services?? he needs it by the end of the week

thanks
ben",council tax exemption letter,"hi [PERSON]

my landlord is asking for a council tax exemption letter proving im a full time student. do i get this from you or from student services?? he needs it by the end of the week

[SIGN_OFF]
[PERSON]",council tax exemption letter,hi [PERSON] my landlord is asking for a council tax exemption letter proving im a full time student. do i get this from you or from student services?? he needs it by the end of the week [SIGN_OFF] [PERSON],council tax exemption letter [SEP] hi [PERSON] my landlord is asking for a council tax exemption letter proving im a full time student. do i get this from you or from student services?? he needs it by the end of the week [SIGN_OFF] [PERSON],['admin'],1,1,0,0,0,0,0,[0]
Returning After Interruption,"Dear Dr Smith,

I interrupted my studies last academic year due to health reasons and I'm now returning to complete my final year. I need to re-enrol in KV6003 and KV5002 but I'm unsure whether my previous work still counts or if I need to start fresh.

Could you advise on what the re-entry process looks like and whether we could arrange an initial meeting to discuss my project?

Many thanks,
David Kim",Returning After Interruption,"[ORGANIZATION],

I interrupted my studies last academic year due to health reasons and I'm now returning to complete my final year. I need to re-enrol in KV6003 and KV5002 but I'm unsure whether my previous work still counts or if I need to start fresh.

Could you advise on what the re-entry process looks like and whether we could arrange an initial meeting to discuss my project?

[SIGN_OFF]
[PERSON]",Returning After Interruption,"[ORGANIZATION], I interrupted my studies last academic year due to health reasons and I'm now returning to complete my final year. I need to re-enrol in KV6003 and KV5002 but I'm unsure whether my previous work still counts or if I need to start fresh. Could you advise on what the re-entry process looks like and whether we could arrange an initial meeting to discuss my project? [SIGN_OFF] [PERSON]","Returning After Interruption [SEP] [ORGANIZATION], I interrupted my studies last academic year due to health reasons and I'm now returning to complete my final year. I need to re-enrol in KV6003 and KV5002 but I'm unsure whether my previous work still counts or if I need to start fresh. Could you advise on what the re-entry process looks like and whether we could arrange an initial meeting to discuss my project? [SIGN_OFF] [PERSON]",['admin'],1,1,0,0,0,0,0,[0]
anonymous marking query,"hi

i noticed my name was visible on my kv4006 assignment when i submitted it through turnitin. isnt marking supposed to be anonymous?? should i resubmit without my name on it or does it not matter

just want to check
megan",anonymous marking query,"hi

i noticed my name was visible on my kv4006 assignment when i submitted it through turnitin. isnt marking supposed to be anonymous?? should i resubmit without my name on it or does it not matter

just want to check
megan",anonymous marking query,hi i noticed my name was visible on my kv4006 assignment when i submitted it through turnitin. isnt marking supposed to be anonymous?? should i resubmit without my name on it or does it not matter just want to check megan,anonymous marking query [SEP] hi i noticed my name was visible on my kv4006 assignment when i submitted it through turnitin. isnt marking supposed to be anonymous?? should i resubmit without my name on it or does it not matter just want to check megan,['admin'],1,1,0,0,0,0,0,[0]
KV6003 Assignment 2 Deadline,"Dear Dr Smith,

I hope this email finds you well. I am writing to enquire about the deadline for Assignment 2 in KV6003. I have checked Blackboard but I can only see the brief and not a confirmed submission date. Could you please clarify when this is due?

Thank you for your time.

Kind regards,
Sarah Thompson",KV6003 Assignment 2 Deadline,"[ORGANIZATION],

I hope this email finds you well. I am writing to enquire about the deadline for Assignment 2 in KV6003. I have checked [PERSON] but I can only see the brief and not a confirmed submission date. Could you please clarify when this is due?

Thank you for your time.

[SIGN_OFF]
[PERSON]",KV6003 Assignment 2 Deadline,"[ORGANIZATION], I hope this email finds you well. I am writing to enquire about the deadline for Assignment 2 in KV6003. I have checked [PERSON] but I can only see the brief and not a confirmed submission date. Could you please clarify when this is due? Thank you for your time. [SIGN_OFF] [PERSON]","KV6003 Assignment 2 Deadline [SEP] [ORGANIZATION], I hope this email finds you well. I am writing to enquire about the deadline for Assignment 2 in KV6003. I have checked [PERSON] but I can only see the brief and not a confirmed submission date. Could you please clarify when this is due? Thank you for your time. [SIGN_OFF] [PERSON]",['assessment'],1,0,1,0,0,0,0,[1]
assignment help,"hi

just wondering when the assignment is due?? i think its next week but not sure lol

cheers",assignment help,"hi

just wondering when the assignment is due?? i think its next week but not sure lol

cheers",assignment help,hi just wondering when the assignment is due?? i think its next week but not sure lol cheers,assignment help [SEP] hi just wondering when the assignment is due?? i think its next week but not sure lol cheers,['assessment'],1,0,1,0,0,0,0,[1]
