subject,body,subject_masked,body_masked,subject_clean,body_clean,text_clean,label_list,n_labels,y_admin,y_assessment,y_extenuating_circumstances,y_feedback,y_resources,y_timetabling,label_ids
Bank Holiday Monday - Is There a Lecture?,"Hi,

Next Monday is a bank holiday. Does that mean the KV6003 Monday session is cancelled or has it been rescheduled to another day? I can't find anything on Blackboard about it.

Thanks,
Hannah Wright",Bank Holiday Monday - Is There a Lecture?,"Hi,

Next Monday is a bank holiday. Does that mean the KV6003 Monday session is cancelled or has it been rescheduled to another day? I can't find anything on Blackboard about it.

[SIGN_OFF]
[PERSON]",Bank Holiday Monday - Is There a Lecture?,"Hi, Next Monday is a bank holiday. Does that mean the KV6003 Monday session is cancelled or has it been rescheduled to another day? I can't find anything on Blackboard about it. [SIGN_OFF] [PERSON]","Bank Holiday Monday - Is There a Lecture? [SEP] Hi, Next Monday is a bank holiday. Does that mean the KV6003 Monday session is cancelled or has it been rescheduled to another day? I can't find anything on Blackboard about it. [SIGN_OFF] [PERSON]",['timetabling'],1,0,0,0,0,0,1,[5]
Re: Re: Re: Assignment Question,"hi again

sorry to keep emailing but i still dont get it. you said to look at the week 8 lecture slides but i cant find them on blackboard. can u just tell me what format the report needs to be in?? like do u want subheadings or not

sorry
jake",Re: Re: Re: Assignment Question,"hi again

sorry to keep emailing but i still dont get it. you said to look at the week 8 lecture slides but i cant find them on blackboard. can u just tell me what format the report needs to be in?? like do u want subheadings or not

sorry
jake",Re: Re: Re: Assignment Question,hi again sorry to keep emailing but i still dont get it. you said to look at the week 8 lecture slides but i cant find them on blackboard. can u just tell me what format the report needs to be in?? like do u want subheadings or not sorry jake,Re: Re: Re: Assignment Question [SEP] hi again sorry to keep emailing but i still dont get it. you said to look at the week 8 lecture slides but i cant find them on blackboard. can u just tell me what format the report needs to be in?? like do u want subheadings or not sorry jake,['assessment'],1,0,1,0,0,0,0,[1]
Religious Observance and Deadline,"Dear Dr Smith,

I wanted to raise that the KV5002 submission deadline on Friday 14th April falls during Eid al-Fitr, which is an important religious observance for me. I will be attending prayers and spending time with family and it would be very difficult for me to submit on that day.

Could the deadline be adjusted by a day or two, or is there a formal process for requesting this?

I appreciate your consideration.

Best regards,
Amir Hussain",Religious Observance and Deadline,"Dear Dr Smith,

I wanted to raise that the KV5002 submission deadline on Friday 14th April falls during Eid al-Fitr, which is an important religious observance for me. I will be attending prayers and spending time with family and it would be very difficult for me to submit on that day.

Could the deadline be adjusted by a day or two, or is there a formal process for requesting this?

I appreciate your consideration.

Best regards,
[PERSON]",Religious Observance and Deadline,"Dear Dr Smith, I wanted to raise that the KV5002 submission deadline on Friday 14th April falls during Eid al-Fitr, which is an important religious observance for me. I will be attending prayers and spending time with family and it would be very difficult for me to submit on that day. Could the deadline be adjusted by a day or two, or is there a formal process for requesting this? I appreciate your consideration. Best regards, [PERSON]","Religious Observance and Deadline [SEP] Dear Dr Smith, I wanted to raise that the KV5002 submission deadline on Friday 14th April falls during Eid al-Fitr, which is an important religious observance for me. I will be attending prayers and spending time with family and it would be very difficult for me to submit on that day. Could the deadline be adjusted by a day or two, or is there a formal process for requesting this? I appreciate your consideration. Best regards, [PERSON]",['extenuating_circumstances'],1,0,0,1,0,0,0,[2]
supervision rescheduling,"hi dr smith

is it ok to move my kv6003 supervision from tuesday to thursday this week?? i have a group presentation for another module on tuesday that i cant miss

sorry for the short notice
tom",supervision rescheduling,"hi dr smith

is it ok to move my kv6003 supervision from tuesday to thursday this week?? i have a group presentation for another module on tuesday that i cant miss

sorry for the short notice
tom",supervision rescheduling,hi dr smith is it ok to move my kv6003 supervision from tuesday to thursday this week?? i have a group presentation for another module on tuesday that i cant miss sorry for the short notice tom,supervision rescheduling [SEP] hi dr smith is it ok to move my kv6003 supervision from tuesday to thursday this week?? i have a group presentation for another module on tuesday that i cant miss sorry for the short notice tom,['timetabling'],1,0,0,0,0,0,1,[5]
do i need a DBS check,"hi

for my kv6003 project im planning to do some user testing with school students. someone mentioned i might need a DBS check for this. is that true and if so how do i get one through the university??

cheers
james",do i need a DBS check,"hi

for my kv6003 project im planning to do some user testing with school students. someone mentioned i might need a DBS check for this. is that true and if so how do i get one through the university??

cheers
james",do i need a DBS check,hi for my kv6003 project im planning to do some user testing with school students. someone mentioned i might need a DBS check for this. is that true and if so how do i get one through the university?? cheers james,do i need a DBS check [SEP] hi for my kv6003 project im planning to do some user testing with school students. someone mentioned i might need a DBS check for this. is that true and if so how do i get one through the university?? cheers james,['admin'],1,1,0,0,0,0,0,[0]
Textbook Recommendation,"Dear Dr Smith,

I'm looking to buy a textbook for KV4006 to supplement my studies. The reading list has several options — which one would you personally recommend as the most useful? I can only afford one so I want to make sure I pick the right one.

Many thanks,
Alex Turner",Textbook Recommendation,"Dear Dr Smith,

I'm looking to buy a textbook for KV4006 to supplement my studies. The reading list has several options — which one would you personally recommend as the most useful? I can only afford one so I want to make sure I pick the right one.

[SIGN_OFF]
[PERSON]",Textbook Recommendation,"Dear Dr Smith, I'm looking to buy a textbook for KV4006 to supplement my studies. The reading list has several options — which one would you personally recommend as the most useful? I can only afford one so I want to make sure I pick the right one. [SIGN_OFF] [PERSON]","Textbook Recommendation [SEP] Dear Dr Smith, I'm looking to buy a textbook for KV4006 to supplement my studies. The reading list has several options — which one would you personally recommend as the most useful? I can only afford one so I want to make sure I pick the right one. [SIGN_OFF] [PERSON]",['resources'],1,0,0,0,0,1,0,[4]
KV6003 Deadline Confirmation,"Dear Dr Smith,

Could you confirm the exact deadline for the KV6003 final project submission? The brief says May 7th but Blackboard shows May 6th. I want to make sure I don't submit late.

Thank you,
Hannah Wright",KV6003 Deadline Confirmation,"Dear Dr Smith,

Could you confirm the exact deadline for the KV6003 final project submission? The brief says May 7th but Blackboard shows May 6th. I want to make sure I don't submit late.

Thank you,
[PERSON]",KV6003 Deadline Confirmation,"Dear Dr Smith, Could you confirm the exact deadline for the KV6003 final project submission? The brief says May 7th but Blackboard shows May 6th. I want to make sure I don't submit late. Thank you, [PERSON]","KV6003 Deadline Confirmation [SEP] Dear Dr Smith, Could you confirm the exact deadline for the KV6003 final project submission? The brief says May 7th but Blackboard shows May 6th. I want to make sure I don't submit late. Thank you, [PERSON]",['assessment'],1,0,1,0,0,0,0,[1]
think my mark is wrong,"hi dr smith

i got 42% for the kv5002 coursework but i dont think thats right. my code runs perfectly and i tested it loads of times. i think there might have been a marking error. can u check it again??

thx
ryan",think my mark is wrong,"hi dr smith

i got 42% for the kv5002 coursework but i dont think thats right. my code runs perfectly and i tested it loads of times. i think there might have been a marking error. can u check it again??

thx
ryan",think my mark is wrong,hi dr smith i got 42% for the kv5002 coursework but i dont think thats right. my code runs perfectly and i tested it loads of times. i think there might have been a marking error. can u check it again?? thx ryan,think my mark is wrong [SEP] hi dr smith i got 42% for the kv5002 coursework but i dont think thats right. my code runs perfectly and i tested it loads of times. i think there might have been a marking error. can u check it again?? thx ryan,['feedback'],1,0,0,0,1,0,0,[3]
Group Project Concerns,"Dear Dr Smith,

I'm writing about the group project for KV5002. Unfortunately, one of our group members has not contributed anything and is not responding to our messages. We've tried contacting them through WhatsApp and email but they haven't replied in two weeks.

I don't want to get a lower mark because of this situation. What should we do? Is there a process for reporting non-contributing members?

Thank you,
Chloe Martinez
(Group 7)",Group Project Concerns,"Dear Dr Smith,

I'm writing about the group project for KV5002. Unfortunately, one of our group members has not contributed anything and is not responding to our messages. We've tried contacting them through WhatsApp and email but they haven't replied in two weeks.

I don't want to get a lower mark because of this situation. What should we do? Is there a process for reporting non-contributing members?

Thank you,
[PERSON]
(Group 7)",Group Project Concerns,"Dear Dr Smith, I'm writing about the group project for KV5002. Unfortunately, one of our group members has not contributed anything and is not responding to our messages. We've tried contacting them through WhatsApp and email but they haven't replied in two weeks. I don't want to get a lower mark because of this situation. What should we do? Is there a process for reporting non-contributing members? Thank you, [PERSON] (Group 7)","Group Project Concerns [SEP] Dear Dr Smith, I'm writing about the group project for KV5002. Unfortunately, one of our group members has not contributed anything and is not responding to our messages. We've tried contacting them through WhatsApp and email but they haven't replied in two weeks. I don't want to get a lower mark because of this situation. What should we do? Is there a process for reporting non-contributing members? Thank you, [PERSON] (Group 7)",['assessment'],1,0,1,0,0,0,0,[1]
need help with loads of stuff,"hi

ok so basically everything is going wrong with kv6003 right now:
- my python code keeps crashing and i dont know why
- i cant find the dataset format requirements anywhere
- ive been really anxious and havent been sleeping
- also i think i might have submitted the wrong file for the interim report

can i come see u in office hours this week??

thx
josh",need help with loads of stuff,"hi

ok so basically everything is going wrong with kv6003 right now:
- my python code keeps crashing and i dont know why
- i cant find the dataset format requirements anywhere
- ive been really anxious and havent been sleeping
- also i think i might have submitted the wrong file for the interim report

can i come see u in office hours this week??

thx
josh",need help with loads of stuff,hi ok so basically everything is going wrong with kv6003 right now: - my python code keeps crashing and i dont know why - i cant find the dataset format requirements anywhere - ive been really anxious and havent been sleeping - also i think i might have submitted the wrong file for the interim report can i come see u in office hours this week?? thx josh,need help with loads of stuff [SEP] hi ok so basically everything is going wrong with kv6003 right now: - my python code keeps crashing and i dont know why - i cant find the dataset format requirements anywhere - ive been really anxious and havent been sleeping - also i think i might have submitted the wrong file for the interim report can i come see u in office hours this week?? thx josh,"['assessment', 'extenuating_circumstances', 'resources']",3,0,1,1,0,1,0,"[1, 2, 4]"
pls help,"dr smith pls i need help with my assignment its due tomorrow and i havent started yet. i know i shouldve started earlier but i had other deadlines. is there any way i can get extra time?? even just a day??

im so stressed rn
connor",pls help,"dr smith pls i need help with my assignment its due tomorrow and i havent started yet. i know i shouldve started earlier but i had other deadlines. is there any way i can get extra time?? even just a day??

im so stressed rn
connor",pls help,dr smith pls i need help with my assignment its due tomorrow and i havent started yet. i know i shouldve started earlier but i had other deadlines. is there any way i can get extra time?? even just a day?? im so stressed rn connor,pls help [SEP] dr smith pls i need help with my assignment its due tomorrow and i havent started yet. i know i shouldve started earlier but i had other deadlines. is there any way i can get extra time?? even just a day?? im so stressed rn connor,['assessment'],1,0,1,0,0,0,0,[1]
Do I Need to Declare ChatGPT Use?,"Dear Dr Smith,

I used ChatGPT to help me understand some concepts for my KV6003 project and to assist with debugging. I want to be fully transparent — do I need to declare this in my report? If so, is there a specific format for referencing AI tools?

Thank you,
Olivia Hughes",Do I Need to Declare ChatGPT Use?,"Dear Dr Smith,

I used ChatGPT to help me understand some concepts for my KV6003 project and to assist with debugging. I want to be fully transparent — do I need to declare this in my report? If so, is there a specific format for referencing AI tools?

Thank you,
[PERSON]",Do I Need to Declare ChatGPT Use?,"Dear Dr Smith, I used ChatGPT to help me understand some concepts for my KV6003 project and to assist with debugging. I want to be fully transparent — do I need to declare this in my report? If so, is there a specific format for referencing AI tools? Thank you, [PERSON]","Do I Need to Declare ChatGPT Use? [SEP] Dear Dr Smith, I used ChatGPT to help me understand some concepts for my KV6003 project and to assist with debugging. I want to be fully transparent — do I need to declare this in my report? If so, is there a specific format for referencing AI tools? Thank you, [PERSON]",['assessment'],1,0,1,0,0,0,0,[1]
Re: Module Selection Advice,"Dear Dr Smith,

Thank you for your advice during our meeting last week. I've decided to take KV5002 in Semester 2 as you suggested. However, the online module selection form isn't letting me add it — it says the prerequisite hasn't been met, but I passed KV4006 last year.

Could you approve an override or tell me who can?

Best regards,
Sophie Green",Re: Module Selection Advice,"Dear Dr Smith,

Thank you for your advice during our meeting last week. I've decided to take KV5002 in Semester 2 as you suggested. However, the online module selection form isn't letting me add it — it says the prerequisite hasn't been met, but I passed KV4006 last year.

Could you approve an override or tell me who can?

Best regards,
Sophie Green",Re: Module Selection Advice,"Dear Dr Smith, Thank you for your advice during our meeting last week. I've decided to take KV5002 in Semester 2 as you suggested. However, the online module selection form isn't letting me add it — it says the prerequisite hasn't been met, but I passed KV4006 last year. Could you approve an override or tell me who can? Best regards, Sophie Green","Re: Module Selection Advice [SEP] Dear Dr Smith, Thank you for your advice during our meeting last week. I've decided to take KV5002 in Semester 2 as you suggested. However, the online module selection form isn't letting me add it — it says the prerequisite hasn't been met, but I passed KV4006 last year. Could you approve an override or tell me who can? Best regards, Sophie Green",['admin'],1,1,0,0,0,0,0,[0]
anonymous marking query,"hi

i noticed my name was visible on my kv4006 assignment when i submitted it through turnitin. isnt marking supposed to be anonymous?? should i resubmit without my name on it or does it not matter

just want to check
megan",anonymous marking query,"hi

i noticed my name was visible on my kv4006 assignment when i submitted it through turnitin. isnt marking supposed to be anonymous?? should i resubmit without my name on it or does it not matter

just want to check
megan",anonymous marking query,hi i noticed my name was visible on my kv4006 assignment when i submitted it through turnitin. isnt marking supposed to be anonymous?? should i resubmit without my name on it or does it not matter just want to check megan,anonymous marking query [SEP] hi i noticed my name was visible on my kv4006 assignment when i submitted it through turnitin. isnt marking supposed to be anonymous?? should i resubmit without my name on it or does it not matter just want to check megan,['admin'],1,1,0,0,0,0,0,[0]
kv4006 exam timetable,"when is the kv4006 exam?? i looked on the exam timetable but it just says TBC. i need to book train tickets home so i need to know asap

dan",kv4006 exam timetable,"when is the kv4006 exam?? i looked on the exam timetable but it just says TBC. i need to book train tickets home so i need to know asap

dan",kv4006 exam timetable,when is the kv4006 exam?? i looked on the exam timetable but it just says TBC. i need to book train tickets home so i need to know asap dan,kv4006 exam timetable [SEP] when is the kv4006 exam?? i looked on the exam timetable but it just says TBC. i need to book train tickets home so i need to know asap dan,['timetabling'],1,0,0,0,0,0,1,[5]
Disability Support for Exams,"Dear Dr Smith,

I'm registered with Disability Services and have a Learning Support Plan that entitles me to 25% extra time in exams. I wanted to check that this has been applied to the KV4006 exam. Could you also confirm whether the exam is in person or online this year?

I'd appreciate your help with this.

Kind regards,
Nathan Brooks",Disability Support for Exams,"Dear Dr Smith,

I'm registered with Disability Services and have a Learning Support Plan that entitles me to 25% extra time in exams. I wanted to check that this has been applied to the KV4006 exam. Could you also confirm whether the exam is in person or online this year?

I'd appreciate your help with this.

[SIGN_OFF]
[PERSON]",Disability Support for Exams,"Dear Dr Smith, I'm registered with Disability Services and have a Learning Support Plan that entitles me to 25% extra time in exams. I wanted to check that this has been applied to the KV4006 exam. Could you also confirm whether the exam is in person or online this year? I'd appreciate your help with this. [SIGN_OFF] [PERSON]","Disability Support for Exams [SEP] Dear Dr Smith, I'm registered with Disability Services and have a Learning Support Plan that entitles me to 25% extra time in exams. I wanted to check that this has been applied to the KV4006 exam. Could you also confirm whether the exam is in person or online this year? I'd appreciate your help with this. [SIGN_OFF] [PERSON]",['assessment'],1,0,1,0,0,0,0,[1]
need the dataset,"hi

where can i download the dataset we need for the kv5002 assignment?? i cant see it on blackboard and the link in the brief doesnt work

this is urgent because the assignment is due next week

dan",need the dataset,"hi

where can i download the dataset we need for the kv5002 assignment?? i cant see it on blackboard and the link in the brief doesnt work

this is urgent because the assignment is due next week

dan",need the dataset,hi where can i download the dataset we need for the kv5002 assignment?? i cant see it on blackboard and the link in the brief doesnt work this is urgent because the assignment is due next week dan,need the dataset [SEP] hi where can i download the dataset we need for the kv5002 assignment?? i cant see it on blackboard and the link in the brief doesnt work this is urgent because the assignment is due next week dan,['resources'],1,0,0,0,0,1,0,[4]
Multiple Deadlines Overwhelm,"Dear Dr Smith,

I currently have four assignments due within the same week across different modules, including KV5002 and KV4006. I've been trying to manage my time but the workload has become unmanageable and I'm seriously struggling.

I understand this isn't a traditional extenuating circumstance but I wanted to ask whether there's any process for requesting deadline adjustments when multiple modules clash like this. Several other students in my cohort are in the same position.

Thank you,
Emily Chen",Multiple Deadlines Overwhelm,"Dear Dr Smith,

I currently have four assignments due within the same week across different modules, including KV5002 and KV4006. I've been trying to manage my time but the workload has become unmanageable and I'm seriously struggling.

I understand this isn't a traditional extenuating circumstance but I wanted to ask whether there's any process for requesting deadline adjustments when multiple modules clash like this. Several other students in my cohort are in the same position.

Thank you,
[PERSON]",Multiple Deadlines Overwhelm,"Dear Dr Smith, I currently have four assignments due within the same week across different modules, including KV5002 and KV4006. I've been trying to manage my time but the workload has become unmanageable and I'm seriously struggling. I understand this isn't a traditional extenuating circumstance but I wanted to ask whether there's any process for requesting deadline adjustments when multiple modules clash like this. Several other students in my cohort are in the same position. Thank you, [PERSON]","Multiple Deadlines Overwhelm [SEP] Dear Dr Smith, I currently have four assignments due within the same week across different modules, including KV5002 and KV4006. I've been trying to manage my time but the workload has become unmanageable and I'm seriously struggling. I understand this isn't a traditional extenuating circumstance but I wanted to ask whether there's any process for requesting deadline adjustments when multiple modules clash like this. Several other students in my cohort are in the same position. Thank you, [PERSON]",['extenuating_circumstances'],1,0,0,1,0,0,0,[2]
