email_id,subject,body,category,module,priority,multi_intent
RES_011,Additional Resources for Machine Learning Topic,"Dear Dr Smith,

I've been going through the KV5002 content on machine learning algorithms and I'm finding the lecture material quite high-level. Are there any additional resources you'd recommend — YouTube channels, online courses, or supplementary textbooks — that might help me understand the concepts in more depth?

I learn better with worked examples if that helps narrow it down.

Best wishes,
Rebecca Lawrence",resources,KV5002,low,FALSE
RES_012,slides from week 3??,"hi

i know this is ages ago but is there any chance u could reupload the week 3 slides for kv4006?? the link on blackboard is broken and just takes me to a blank page. ive asked a few others and they have the same problem

sorry
liam",resources,KV4006,medium,FALSE
RES_013,Access to University Software Remotely,"Dear Dr Smith,

I'm a commuter student and I do most of my work from home. Is there a way to access the university's software remotely — specifically the tools we use for KV4006 like MySQL and the Oracle database? I heard there's a virtual desktop but I'm not sure how to set it up.

Any guidance would be appreciated.

Thanks,
Nathan Brooks",resources,KV4006,medium,FALSE
RES_014,reading list not working,"the reading list link on blackboard for kv5002 takes me to the library page but all the links to the actual books and papers say 'access denied'. i think the library subscriptions might have expired or something??

can u send the pdfs directly or tell me how to access them

thx
katie",resources,KV5002,medium,FALSE
RES_015,KV6003 Project Template,"Dear Dr Smith,

Is there a report template we should be using for the KV6003 project submission? I want to make sure I'm following the correct formatting and structure. If there isn't a template, could you advise on the expected format — font size, line spacing, heading structure etc.?

Thank you,
Zara Ahmed",resources,KV6003,low,FALSE
RES_016,sample code from lecture,"hi dr smith

in the kv5002 lecture on wednesday you showed some sample code for the observer pattern. are you going to upload that code to blackboard or github?? i tried to copy it down during the lecture but i missed some of it

cheers
josh",resources,KV5002,medium,FALSE
RES_017,Lecture Recording Quality Issue,"Dear Dr Smith,

I've been watching the KV4006 Panopto recordings and the audio quality on the last three recordings has been very poor — there's a constant buzzing sound and your voice cuts out frequently. It's quite difficult to follow.

Is there anything that can be done to fix this? Could you perhaps upload the slides with audio notes as an alternative?

Thanks,
Sophie Green",resources,KV4006,medium,FALSE
RES_018,need the dataset,"hi

where can i download the dataset we need for the kv5002 assignment?? i cant see it on blackboard and the link in the brief doesnt work

this is urgent because the assignment is due next week

dan",resources,KV5002,high,FALSE
RES_019,Textbook Recommendation,"Dear Dr Smith,

I'm looking to buy a textbook for KV4006 to supplement my studies. The reading list has several options — which one would you personally recommend as the most useful? I can only afford one so I want to make sure I pick the right one.

Many thanks,
Alex Turner",resources,KV4006,low,FALSE
RES_020,cant open the files,"hi

the files u uploaded for kv6003 week 9 are in a .ipynb format and i dont know how to open them. i dont have jupyter installed yet. is there a way to view them without installing anything?? or can u upload them as pdfs too

thx
connor",resources,KV6003,medium,TRUE
RES_021,Week 8 Slides Still Missing,"Hi Dr Smith,

Just following up on this — the Week 8 slides for KV5002 still haven't been uploaded. A few of us have been waiting as we need them for the assignment. Could you let us know when they'll be available?

Thanks,
James",resources,KV5002,medium,FALSE
RES_022,Tutorial Solutions,"Dear Dr Smith,

Are you planning to release the solutions for the KV4006 tutorial worksheets? We've been working through them in study groups but we'd like to check our answers. Even if it's just for the first few weeks that would be helpful.

Best regards,
Isla Ferguson",resources,KV4006,low,FALSE
RES_023,kv6003 tools and software list,"hi

is there a complete list anywhere of all the software and tools we need for kv6003?? ive been installing things as we go but i feel like im missing stuff. python jupyter git and what else??

also do we need a specific version of scikit-learn

thx
tom",resources,KV6003,medium,TRUE
RES_024,Library Access for External Journals,"Dear Dr Smith,

I'm trying to access some IEEE and ACM papers for my KV6003 literature review but the library portal keeps asking me to pay. I thought we had institutional access to these databases? Am I doing something wrong or do I need to request access separately?

Thank you,
Hannah Wright",resources,KV6003,medium,FALSE
RES_025,Blackboard App Not Syncing,"hi dr smith

the blackboard app on my phone isnt syncing properly for any of my modules. kv5002 and kv4006 both show old content from last semester. ive tried logging out and back in but nothing changes. i know this is probably an IT thing but do u know if anyone else has reported it??

sorry to bother u with this
chloe",resources,,low,FALSE
